time/fps,time/time_elapsed,time/iterations,train/reward,time/total_timesteps,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
95,58,112,,5600,-7.124901247024536,6.589306985915755e-06,-1.5720398426055908,1.006282091140747,-0.00448108335596018,0.2,0.041999999433755875,-0.00982770137488842,0.008236771,1110,0.00025,2960.0,0.000105
95,59,113,,5650,-7.125275707244873,5.120108403389167e-06,-0.867943525314331,1.0064982175827026,-0.010966261658118981,0.2,0.06799999959766864,-0.022480467334389687,0.014677929,1120,0.00025,2960.0,0.000105
95,59,114,,5700,-7.127017784118652,5.30300476384582e-06,-1.9914863109588623,1.0070563554763794,-0.02272626953106389,0.2,0.11800000071525574,-0.040870118886232376,0.020711532,1130,0.00025,2960.0,0.000105
95,60,115,,5750,-7.129660987854004,2.735985253821127e-06,0.27969610691070557,1.0073764324188232,-0.012553430676459953,0.2,0.11600000075995923,-0.02531769871711731,0.0191402,1140,0.00025,2960.0,0.000105
95,60,116,,5800,-7.130428075790405,2.7687808324117213e-05,-18.94893455505371,1.007429838180542,-0.0020558807330671057,0.2,0.005999999865889549,-0.016178173944354057,0.003457272,1150,0.00025,2960.0,0.000105
95,60,117,,5850,-7.130979299545288,1.2380766565911473e-05,-1.584954023361206,1.0077089071273804,-0.018243854432366646,0.2,0.14200000278651714,-0.03069981187582016,0.026423559,1160,0.00025,2960.0,0.000105
96,61,118,,5900,-7.13304181098938,2.090643147312221e-05,-2.8887808322906494,1.008162260055542,-0.01087962061399601,0.2,0.10199999958276748,-0.022873857989907265,0.017553514,1170,0.00025,2960.0,0.000105
93,63,119,,5950,-7.134263944625855,1.4543133238476002e-05,-3.6390838623046875,1.0081132650375366,-0.012423453658360728,0.2,0.056000000610947606,-0.029604079201817513,0.012215686,1180,0.00025,2960.0,9.35e-05
93,64,120,,6000,-7.133663845062256,6.53208213407197e-05,0.4530419707298279,1.0080788135528564,-0.02259716697409715,0.2,0.04200000055134297,-0.051291052252054214,0.0119954385,1190,0.00025,2960.0,9.35e-05
93,64,121,,6050,-7.133165311813355,6.254092022572877e-06,-3.9285593032836914,1.0077340602874756,-0.014678222629241589,0.2,0.1099999986588955,-0.01976219192147255,0.021049852,1200,0.00025,2960.0,9.35e-05
93,65,122,,6100,-7.132170104980469,3.5133638789375254e-06,0.18967962265014648,1.0080490112304688,-0.005325354026892626,0.2,0.021999999508261682,-0.014798371121287346,0.008164705,1210,0.00025,2960.0,9.35e-05
93,65,123,,6150,-7.1359062671661375,2.740744889706548e-06,-0.335840106010437,1.0090349912643433,-0.0053169792536643,0.2,0.01600000001490116,-0.017982322722673416,0.007837818,1220,0.00025,2960.0,9.35e-05
93,66,124,,6200,-7.140704250335693,2.688832648800599e-06,0.22832214832305908,1.0099233388900757,-0.025218154128640435,0.2,0.22799999825656414,-0.036987531930208206,0.034443326,1230,0.00025,2960.0,9.35e-05
93,66,125,,6250,-7.144464206695557,3.257270054746186e-06,-7.759458541870117,1.0104728937149048,-0.012574878657702016,0.2,0.02799999974668026,-0.028143389150500298,0.009323806,1240,0.00025,2960.0,9.35e-05
93,67,126,,6300,-7.146106147766114,1.8713724045937852e-06,-20.324481964111328,1.0105526447296143,-0.024042141428217256,0.2,0.09399999901652337,-0.03903258219361305,0.014734128,1250,0.00025,2960.0,9.35e-05
93,67,127,,6350,-7.14757342338562,1.5403953028680917e-06,-7.088417053222656,1.0113685131072998,-0.011843513797037275,0.2,0.0419999998062849,-0.025273457169532776,0.0109558655,1260,0.00025,2960.0,9.35e-05
93,68,128,,6400,-7.152747106552124,1.612882135759719e-06,-6.258090496063232,1.0124534368515015,-0.007883781505748288,0.2,0.05000000074505806,-0.013376768678426743,0.010161812,1270,0.00025,2960.0,9.35e-05
