time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/std,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance
1249280,610,7.534e-05,1498.0,112,11088,0.15225350856781006,0.2949711482040584,2.8583957596695075e-08,273.06586,0.28662019968032837,0.00025,3.348217248916626,6090,0.2,1.0,0.07185918092727661
1251328,611,7.544999999999999e-05,1498.0,112,11107,0.15225350856781006,0.2992886799387634,3.0206053855397205e-08,260.5795,0.30071860551834106,0.00025,3.348217248916626,6100,0.2,1.0,-0.4461454153060913
1253376,612,7.542999999999999e-05,1498.0,112,11124,0.15225350856781006,0.2985466381534934,2.4039315560386852e-08,275.4342,0.30056795477867126,0.00025,3.348217248916626,6110,0.2,1.0,-0.16529619693756104
1255424,613,7.550999999999999e-05,1498.0,112,11144,0.15225350856781006,0.29337200000882147,2.373888476625563e-08,268.9961,0.30782365798950195,0.00025,3.348217248916626,6120,0.2,1.0,0.17254024744033813
1257472,614,7.552e-05,1498.0,112,11161,0.15225350856781006,0.29665084816515447,3.5629232514322597e-08,259.54993,0.29630982875823975,0.00025,3.348217248916626,6130,0.2,1.0,-0.042348384857177734
1259520,615,7.557e-05,1498.0,112,11180,0.15225350856781006,0.29411360081285237,2.5882205098581856e-08,277.64206,0.29908156394958496,0.00025,3.348217248916626,6140,0.2,1.0,0.2635045051574707
1261568,616,7.56e-05,1498.0,112,11199,0.15225350856781006,0.29415722829289737,2.193486749041407e-08,265.67975,0.28514018654823303,0.00025,3.348217248916626,6150,0.2,1.0,0.21446025371551514
1263616,617,7.557999999999999e-05,1498.0,112,11216,0.15225350856781006,0.2986958804074675,3.4585835181899505e-08,264.95636,0.28466349840164185,0.00025,3.348217248916626,6160,0.2,1.0,-0.10373473167419434
1265664,618,7.563999999999999e-05,1498.0,112,11234,0.15225350856781006,0.29569496903568504,2.4214192213822816e-08,275.61295,0.2851048409938812,0.00025,3.348217248916626,6170,0.2,1.0,0.14633029699325562
1267712,619,7.565999999999999e-05,1498.0,112,11253,0.15225350856781006,0.29611914064735173,3.4626368072832035e-08,263.5542,0.2931288778781891,0.00025,3.348217248916626,6180,0.2,1.0,-0.10471892356872559
1269760,620,7.571999999999999e-05,1498.0,112,11271,0.15225350856781006,0.29855539966374633,2.5018479962723993e-08,269.76816,0.3034960925579071,0.00025,3.348217248916626,6190,0.2,1.0,0.04915744066238403
1271808,621,7.574e-05,1498.0,112,11289,0.15225350856781006,0.29336917884647845,2.925479720972124e-08,270.878,0.3092942535877228,0.00025,3.348217248916626,6200,0.2,1.0,0.35552161931991577
1273856,622,7.578e-05,1498.0,112,11308,0.15225350856781006,0.29745667716488244,3.223065233037836e-08,257.29718,0.3011229634284973,0.00025,3.348217248916626,6210,0.2,1.0,-0.15188193321228027
1275904,623,7.581e-05,1498.0,112,11325,0.15225350856781006,0.29406165475957097,2.4904336953790462e-08,279.43668,0.32611510157585144,0.00025,3.348217248916626,6220,0.2,1.0,-0.6433517932891846
1277952,624,7.591000000000001e-05,1498.0,112,11344,0.15225350856781006,0.2910967944189906,2.2701220188381388e-08,268.22742,0.28571441769599915,0.00025,3.348217248916626,6230,0.2,1.0,-0.2641559839248657
1280000,625,7.595000000000002e-05,1498.0,112,11361,0.15225350856781006,0.29628486968576906,2.9211659702266246e-08,261.8543,0.28830474615097046,0.00025,3.348217248916626,6240,0.2,1.0,-0.5509676933288574
1282048,626,7.598e-05,1498.0,112,11378,0.15225350856781006,0.29183636433444915,2.760367438792155e-08,276.675,0.28309303522109985,0.00025,3.348217248916626,6250,0.2,1.0,0.04083782434463501
1284096,627,7.591000000000001e-05,1498.0,112,11397,0.15225350856781006,0.2925033265724778,2.44336013380253e-08,264.37067,0.30047810077667236,0.00025,3.348217248916626,6260,0.2,1.0,-0.40462684631347656
1286144,628,7.595000000000002e-05,1498.0,112,11414,0.15225350856781006,0.29536984795704485,2.6760643961898366e-08,266.20914,0.3261236846446991,0.00025,3.348217248916626,6270,0.2,1.0,-0.42928946018218994
1288192,629,7.598e-05,1498.0,112,11432,0.15225350856781006,0.290066077793017,2.10608527145828e-08,274.54062,0.26342105865478516,0.00025,3.348217248916626,6280,0.2,1.0,-0.27597880363464355
1290240,630,7.598e-05,1498.0,112,11452,0.15225350856781006,0.2957203907892108,3.3942728609737125e-08,262.3938,0.3165417015552521,0.00025,3.348217248916626,6290,0.2,1.0,-0.8321534395217896
1292288,631,7.599999999999999e-05,1498.0,112,11469,0.15225350856781006,0.29489924274384977,2.3501512139145753e-08,272.55072,0.2899233400821686,0.00025,3.348217248916626,6300,0.2,1.0,-0.8797340393066406
1294336,632,7.598e-05,1498.0,112,11487,0.15225350856781006,0.2886039570439607,2.2178678794892993e-08,269.41553,0.27928626537323,0.00025,3.348217248916626,6310,0.2,1.0,-0.015002012252807617
1296384,633,7.597e-05,1498.0,112,11505,0.15225350856781006,0.29616649467498063,2.9280383742613658e-08,258.75217,0.2938494384288788,0.00025,3.348217248916626,6320,0.2,1.0,-0.5782769918441772
1298432,634,7.592e-05,1498.0,112,11523,0.15225350856781006,0.29204565230756996,2.931644769582631e-08,278.27213,0.28619223833084106,0.00025,3.348217248916626,6330,0.2,1.0,-0.2550320625305176
1300480,635,7.59e-05,1498.0,112,11542,0.15225350856781006,0.2906586325261742,2.5908456201262363e-08,267.10016,0.2993975281715393,0.00025,3.348217248916626,6340,0.2,1.0,-0.5445986986160278
1302528,636,7.593e-05,1498.0,112,11560,0.15225350856781006,0.2952008749358356,3.3507382440900455e-08,263.44177,0.27716052532196045,0.00025,3.348217248916626,6350,0.2,1.0,-1.2108211517333984
1304576,637,7.604e-05,1498.0,112,11578,0.15225350856781006,0.2908016813453287,2.398997807212533e-08,276.0136,0.30738064646720886,0.00025,3.348217248916626,6360,0.2,1.0,-0.2809690237045288
1306624,638,7.608000000000002e-05,1498.0,112,11597,0.15225350856781006,0.2931602247059345,2.9036511928204333e-08,263.3574,0.29977238178253174,0.00025,3.348217248916626,6370,0.2,1.0,-0.8599040508270264
1308672,639,7.607999999999999e-05,1498.0,112,11614,0.15225350856781006,0.2975269158370793,2.60237019655829e-08,268.5143,0.3014060854911804,0.00025,3.348217248916626,6380,0.2,1.0,-0.49375855922698975
1310720,640,7.6e-05,1498.0,112,11631,0.15225350856781006,0.2917568853124976,1.9904905750045555e-08,272.24847,0.2797222435474396,0.00025,3.348217248916626,6390,0.2,1.0,-0.37360715866088867
