,date,dji
272,2023-04-14,1010199.3036036374
273,2023-04-17,1013201.6264387002
274,2023-04-18,1012887.0940526362
275,2023-04-19,1010513.6030890085
276,2023-04-20,1007222.7162951648
277,2023-04-21,1007888.6958271532
278,2023-04-24,1009869.2833214806
279,2023-04-25,999597.1982512418
280,2023-04-26,992771.6940882002
281,2023-04-27,1008401.4267030659
282,2023-04-28,1016510.0972348748
283,2023-05-01,1015125.0368128658
284,2023-05-02,1004179.2864877655
285,2023-05-03,996121.5047574042
286,2023-05-04,987580.5705391569
287,2023-05-05,1003876.6320370507
288,2023-05-08,1002216.5158964623
289,2023-05-09,1000520.7659498254
290,2023-05-10,999612.1038956018
291,2023-05-11,992999.4709660755
292,2023-05-12,992734.4299773003
293,2023-05-15,994164.789584122
294,2023-05-16,984134.4554333461
295,2023-05-17,996316.2097368559
296,2023-05-18,999748.7001521192
297,2023-05-19,996490.885256699
298,2023-05-22,992315.7909814097
299,2023-05-23,985427.4036312246
300,2023-05-24,977807.9410053228
301,2023-05-25,976756.4526010407
302,2023-05-26,986555.1087873315
303,2023-05-30,985047.8919517789
304,2023-05-31,981037.9242679145
305,2023-06-01,985608.0181187423
306,2023-06-02,1006511.4375783637
307,2023-06-05,1000552.0910930508
308,2023-06-06,1000862.7806176782
309,2023-06-07,1003597.617006688
310,2023-06-08,1008623.4975139599
311,2023-06-09,1009910.5067441636
312,2023-06-12,1015561.1433607407
313,2023-06-13,1019907.4196454763
314,2023-06-14,1012967.5612421108
315,2023-06-15,1025748.5690290289
316,2023-06-16,1022501.0017641063
317,2023-06-20,1015189.7832055544
318,2023-06-21,1012138.5512249355
319,2023-06-22,1011995.2008483175
320,2023-06-23,1005458.1441937101
321,2023-06-26,1005078.981865304
322,2023-06-27,1011399.7902263456
323,2023-06-28,1009191.425854143
324,2023-06-29,1017233.3703373717
325,2023-06-30,1025734.9443384811
326,2023-07-03,1026058.9092026167
327,2023-07-05,1022188.5654842803
328,2023-07-06,1011266.3381291855
329,2023-07-07,1005680.2150046038
330,2023-07-10,1011926.2622431528
331,2023-07-11,1021377.139469436
332,2023-07-12,1023941.1432000392
333,2023-07-13,1025363.4677329481
334,2023-07-14,1028758.6940373115
335,2023-07-17,1031033.9009084408
336,2023-07-18,1041962.0672312102
337,2023-07-19,1045219.8821266303
338,2023-07-20,1050108.001873919
339,2023-07-21,1050182.8794467584
340,2023-07-24,1055654.648331016
341,2023-07-25,1056454.5457615508
342,2023-07-26,1058900.585291087
343,2023-07-27,1051823.315478778
344,2023-07-28,1057087.1040440758
345,2023-07-31,1060075.4528375512
346,2023-08-01,1062196.4794498326
347,2023-08-02,1051817.3765111035
348,2023-08-03,1049831.0829497944
349,2023-08-04,1045351.3545678988
350,2023-08-07,1057499.6876219453
351,2023-08-08,1052770.4061473673
