Date,BCRP_net_worth
2022-09-01,1107900.001746706
2022-09-02,1097895.279627943
2022-09-06,1093141.2802094517
2022-09-07,1106384.2093358287
2022-09-08,1112968.885478094
2022-09-09,1128571.2200346298
2022-09-12,1136866.008856308
2022-09-13,1088763.1107255975
2022-09-14,1092137.1451561737
2022-09-15,1082907.3613926831
2022-09-16,1077853.7662800197
2022-09-19,1084726.200611988
2022-09-20,1074236.4422782
2022-09-21,1054670.2025622348
2022-09-22,1049840.1622281494
2022-09-23,1031206.0358469029
2022-09-26,1018480.5964402484
2022-09-27,1014307.8222299023
2022-09-28,1034707.6430370922
2022-09-29,1018736.1129223251
2022-09-30,1003687.2270456218
2022-10-03,1033627.8789547405
2022-10-04,1062526.3276949597
2022-10-05,1062023.9941616422
2022-10-06,1052868.2787031345
2022-10-07,1031278.3071658993
2022-10-10,1027986.833926239
2022-10-11,1028396.9221416798
2022-10-12,1027114.4409674511
2022-10-13,1057591.1589806385
2022-10-14,1040723.4127884598
2022-10-17,1060701.9695859242
2022-10-18,1071522.959877264
2022-10-19,1067775.5110848255
2022-10-20,1063478.4022462787
2022-10-21,1089360.6074249458
2022-10-24,1104015.4416856994
2022-10-25,1119687.679037201
2022-10-26,1120655.8684553737
2022-10-27,1127420.8018929844
2022-10-28,1160942.1295843334
2022-10-31,1153354.5973520947
2022-11-01,1150536.6189014416
2022-11-02,1129269.3766046849
2022-11-03,1120155.5428882618
2022-11-04,1136521.2556465606
2022-11-07,1152735.2118947315
2022-11-08,1164398.5821210174
2022-11-09,1138811.1254747505
2022-11-10,1188632.836615963
2022-11-11,1191498.4299076272
2022-11-14,1185532.5666297188
2022-11-15,1188490.9662829742
2022-11-16,1185341.5708700828
2022-11-17,1188093.1176648904
2022-11-18,1194466.5141700974
2022-11-21,1191110.0295907268
2022-11-22,1208112.124185606
2022-11-23,1209634.9930400029
2022-11-25,1213140.9894122144
2022-11-28,1194923.5892775669
2022-11-29,1195172.8498073863
2022-11-30,1226312.4562675857
2022-12-01,1221089.0512652548
2022-12-02,1220900.4180891304
2022-12-05,1203980.564043871
2022-12-06,1188137.8288837203
2022-12-07,1187291.1328996087
2022-12-08,1194945.1615136242
2022-12-09,1183010.1430364666
2022-12-12,1202846.475093937
2022-12-13,1207697.2208301066
2022-12-14,1202064.5962277355
2022-12-15,1175117.7146128367
2022-12-16,1164862.8380979823
2022-12-19,1158292.4343570804
2022-12-20,1160729.2187209015
2022-12-21,1176055.675394905
2022-12-22,1162105.7930907249
2022-12-23,1169676.5903209494
2022-12-27,1170302.56524551
2022-12-28,1156794.0716325417
2022-12-29,1170539.575224245
2022-12-30,1169135.0068628674
2023-01-03,1164897.397551361
2023-01-04,1172345.5408663063
2023-01-05,1161685.2199640274
2023-01-06,1187538.6937717341
2023-01-09,1185087.6749614582
2023-01-10,1192486.8428423118
2023-01-11,1202716.3056758041
2023-01-12,1209853.9532699622
2023-01-13,1213427.1936815567
2023-01-17,1204384.4540460357
2023-01-18,1183313.5396152115
2023-01-19,1174908.6626616134
2023-01-20,1190056.6252313615
