Date,OLMAR_net_worth
2023-05-04,1003911.7522072938
2023-05-05,1021743.4751362946
2023-05-08,1020548.8215325158
2023-05-09,1018628.7398541253
2023-05-10,1017448.5626232903
2023-05-11,1000013.7257607263
2023-05-12,997187.8418171685
2023-05-15,1000828.0035946649
2023-05-16,991316.9883549493
2023-05-17,1001438.9339497369
2023-05-18,1011482.2658436578
2023-05-19,1005563.8289921563
2023-05-22,1001544.3742096703
2023-05-23,988276.199673919
2023-05-24,983458.5015118401
2023-05-25,980632.463050155
2023-05-26,991062.615903167
2023-05-30,992484.1108105462
2023-05-31,993912.7970917504
2023-06-01,997196.1845066827
2023-06-02,1011960.7646992486
2023-06-05,1006153.1983540338
2023-06-06,1011515.0397675317
2023-06-07,1007175.0907357018
2023-06-08,1012344.3657810967
2023-06-09,1015453.4367478173
2023-06-12,1023456.7718117516
2023-06-13,1024845.7882492822
2023-06-14,1025021.3735268395
2023-06-15,1035887.3100121301
2023-06-16,1032131.7880509179
2023-06-20,1024792.1098015588
2023-06-21,1016004.4219429772
2023-06-22,1021794.3503525537
2023-06-23,1016849.5899956506
2023-06-26,1013460.1515686791
2023-06-27,1020503.3384011071
2023-06-28,1021789.2032921594
2023-06-29,1026889.1741326135
2023-06-30,1038326.3100235742
2023-07-03,1039911.885138778
2023-07-05,1037241.029588012
2023-07-06,1027952.8338120263
2023-07-07,1021986.2384274285
2023-07-10,1024297.2333634179
2023-07-11,1036117.903926162
2023-07-12,1042700.4863541406
2023-07-13,1045107.952754287
2023-07-14,1039840.1782524865
2023-07-17,1040151.6596367639
2023-07-18,1044950.8030426782
2023-07-19,1052833.599303512
2023-07-20,1045468.5853064645
2023-07-21,1049518.9425547707
2023-07-24,1056991.415590583
2023-07-25,1057900.1635249245
2023-07-26,1063738.945488273
2023-07-27,1058076.7030261147
2023-07-28,1058439.360306083
2023-07-31,1056081.9299662698
2023-08-01,1055176.9042723763
2023-08-02,1052582.50629264
2023-08-03,1051864.1835101235
2023-08-04,1046219.662126838
2023-08-07,1058009.7741950143
2023-08-08,1053363.546608268
