date,ensemble,dji
2022-02-23,987707.243759641,991071.6591371888
2022-02-24,991044.5772252172,993825.6450787619
2022-02-25,1014758.5974431126,1018800.695150968
2022-02-28,1008032.9285893528,1013830.6905670285
2022-03-01,992537.6616673558,995953.0930841172
2022-03-02,1009673.2556614964,1013793.2992690819
2022-03-03,1007117.3708958714,1010900.9655251064
2022-03-04,1002356.9104771704,1005520.8251418152
2022-03-07,977168.0082097142,981667.5140080071
2022-03-08,967231.4874119848,976141.4307149181
2022-03-09,989492.6228337376,995692.8730199701
2022-03-10,985120.799240598,992337.237724875
2022-03-11,979108.6687321753,985460.8611846896
2022-03-14,978280.1566777318,985492.1763967199
2022-03-15,1001221.9364934056,1003413.1244156879
2022-03-16,1015521.6903996556,1018930.8636069446
2022-03-17,1025033.2291874974,1031424.3478811578
2022-03-18,1031708.5660100072,1039625.5448467138
2022-03-21,1029105.6286320776,1033584.8638156346
2022-03-22,1035951.7673039524,1041196.9141429196
2022-03-23,1026324.4875798314,1027767.1283985623
2022-03-24,1037893.1092534154,1038219.9825873399
2022-03-25,1042628.9953312962,1042805.5578892658
2022-03-28,1048686.212219724,1045636.897078466
2022-03-29,1059369.3876805394,1055756.5013242946
2022-03-30,1060706.373016843,1053800.7027460753
2022-03-31,1045714.1807255832,1037334.8604562603
2022-04-01,1050936.4810795872,1041520.2320223516
2022-04-04,1053261.4598088353,1044619.5032309003
2022-04-05,1048885.4253260817,1036222.9367335733
2022-04-06,1045436.4121540271,1031895.4782352849
2022-04-07,1049503.3223477833,1034499.6652894596
2022-04-08,1051741.662509004,1038614.2270850645
2022-04-11,1036141.536070863,1026258.8569176414
2022-04-12,1031259.938693086,1023634.9225842387
2022-04-13,1042214.753928224,1033931.9017997015
2022-04-14,1038708.3478308116,1030540.9784671696
2022-04-18,1039536.200587312,1029358.2449739962
2022-04-19,1051512.810328523,1044300.0413290691
2022-04-20,1060746.9543486035,1051766.03189875
2022-04-21,1050811.7926664746,1040757.2158486289
2022-04-22,1020376.5778227246,1011401.6583741725
2022-04-25,1030112.434180299,1018522.8310681023
2022-04-26,1004617.937457124,994314.7699950258
2022-04-27,1016218.0586653148,996161.9001135877
2022-04-28,1032366.2567892468,1014542.2937060746
2022-04-29,1003129.0967893994,986448.5756895102
2022-05-02,1003664.742346803,988969.9176491718
2022-05-03,1001898.954428712,990982.7379567595
2022-05-04,1027111.2853918468,1018869.752204363
2022-05-05,996563.9086561596,987069.5049310358
2022-05-06,994864.7573233044,984120.1494576918
2022-05-09,975953.6148176588,964566.8375877425
2022-05-10,976746.244704286,962025.4562293376
2022-05-11,966109.7026853956,952254.9348041824
2022-05-12,959242.9158697522,949149.7043575235
2022-05-13,972271.2899961864,963099.930230175
2022-05-16,974356.8717413342,963900.3961257474
2022-05-17,981831.6575498974,976797.9985372992
2022-05-18,980849.8366409468,941963.6811312176
2022-05-19,978890.3996544052,934876.1021815368
2022-05-20,978613.1894024062,935138.4255061934
2022-05-23,985212.3483642744,953634.848970121
2022-05-24,987571.4501594712,955082.0090484604
2022-05-25,989495.3439331222,960815.1466539288
2022-05-26,1003432.293075052,976277.499985102
2022-05-27,1020238.7993464142,993500.5744822386
2022-05-31,1016902.255370584,986834.7576886149
2022-06-01,1008479.5580744416,981543.4216379469
2022-06-02,1015170.9298090606,994557.1123448423
2022-06-03,1004219.7702250152,984129.9646734027
2022-06-06,1005377.8333353668,984611.027091047
2022-06-07,1014476.5633845,992518.8192155282
2022-06-08,1006742.9159540802,984464.9673334431
2022-06-09,985280.0417856842,965377.1771229289
2022-06-10,959363.46572825,939053.7033685235
2022-06-13,936506.8665308624,912848.4211699713
2022-06-14,931326.4373163847,908304.3268392049
2022-06-15,940412.7486567168,917388.8932187493
2022-06-16,919326.533736673,895209.602178791
2022-06-17,917905.4205088288,894064.2015596612
2022-06-21,942557.625533548,913252.5393073099
2022-06-22,943296.7404703766,911843.0626464322
2022-06-23,951185.7582239776,917653.0276844002
2022-06-24,974251.5143122344,942281.0397725394
2022-06-27,973888.5235285432,940413.8702552342
2022-06-28,961012.2641138702,925718.5059231906
2022-06-29,967799.2011484772,928180.9565885862
2022-06-30,959339.3266138702,920586.608703923
2022-07-01,969211.9550547272,930213.5241754021
2022-07-05,964457.4519648224,926341.5968491287
2022-07-06,967693.1761545808,928431.3030131193
2022-07-07,977663.0518203904,938807.2713454943
2022-07-08,977620.545491056,937419.294680936
2022-07-11,971546.563184896,932504.2669897586
2022-07-12,961878.0306848655,926745.7149864673
2022-07-13,956452.6945184836,920507.6195870108
2022-07-14,951333.6732286584,916241.447763013
2022-07-15,971935.45609609,935926.9145016423
2022-07-18,963378.3300394188,929476.1560951145
2022-07-19,987335.8027223716,952043.7908185901
2022-07-20,984812.1335291038,953473.3068782111
2022-07-21,990124.4483179222,958321.0302330845
2022-07-22,984038.5733217368,954204.6572964853
2022-07-25,988340.0001825462,956919.2655274083
2022-07-26,982666.158553518,950084.1362627702
2022-07-27,998908.1990083824,963127.7400080229
2022-07-28,1011201.3864282736,973060.0956446031
2022-07-29,1019976.6022943626,982497.6008224215
2022-08-01,1018956.6462213646,981099.7505182492
2022-08-02,1014601.2111639152,969067.8735019673
2022-08-03,1023164.5803529868,981521.5710982092
2022-08-04,1019914.8012159476,978958.6313195821
2022-08-05,1021808.9122526794,981251.4189705452
2022-08-08,1020878.0256628662,982121.0003434157
2022-08-09,1023027.5170284172,980382.1881410928
2022-08-10,1038734.098268476,996388.7017051951
2022-08-11,1037337.8973783928,997201.144500891
2022-08-12,1050082.5435041862,1009895.6070015673
2022-08-15,1057829.8883451896,1014424.1605741247
2022-08-16,1063003.3475584465,1021590.4365212026
2022-08-17,1059955.76081986,1016454.6249004311
2022-08-18,1058998.0054373222,1017014.5595871813
2022-08-19,1052859.4350943046,1008270.9551057876
2022-08-22,1034516.1771826224,989033.0154644565
2022-08-23,1027726.234395452,984425.8233184052
2022-08-24,1028020.054746099,986209.8556216822
2022-08-25,1038348.6303190666,995858.3295133838
2022-08-26,1009550.6765913444,965694.5941881537
2022-08-29,1004552.8927092032,960178.3261107757
2022-08-30,995936.0035414177,950961.4880147452
2022-08-31,990818.9580587822,942572.6918965228
2022-09-01,998117.0333036856,946939.7033771704
2022-09-02,986320.7834600884,936829.6806514405
2022-09-06,982207.9684729056,931650.5769185154
2022-09-07,995036.4139303642,944692.0189793553
2022-09-08,1000487.0399946648,950472.4215223843
2022-09-09,1011818.946771093,961755.3625255765
2022-09-12,1017245.8999685722,968624.2608061727
2022-09-13,978657.7023443657,930444.1817446102
2022-09-14,980527.5113729913,931345.1367534142
2022-09-15,976541.4317144828,926162.1186189852
2022-09-16,973245.4599852044,921992.2293871999
2022-09-19,978721.773217626,927892.8683226884
2022-09-20,969552.0866484124,918516.6498191605
2022-09-21,952778.009396978,902888.5478750584
2022-09-22,951886.257340856,899684.8731517745
2022-09-23,939080.280476995,885139.0740115172
2022-09-26,930555.6420912225,875279.7482537387
2022-09-27,923257.2389273124,871516.0804198014
2022-09-28,936915.7619833428,887930.8602183582
2022-09-29,924695.5400633292,874226.7742492207
2022-09-30,908252.2299513298,859267.2754515263
2022-10-03,929919.660733648,882162.1424559376
2022-10-04,953251.3654989676,906853.2523593616
2022-10-05,953049.500532972,905583.4088267534
2022-10-06,941151.3902665192,895205.6877772871
2022-10-07,920218.6446724412,876355.9749716673
2022-10-10,917081.2808228012,873546.8952895261
2022-10-11,920632.9367828842,874632.9956470686
2022-10-12,920786.4057808396,873785.2648139356
2022-10-13,946450.9867706771,898549.4045961617
2022-10-14,934297.8143158432,886467.8088383913
2022-10-17,952065.0447578904,902949.6008537367
2022-10-18,958993.0906181808,913059.6235794666
2022-10-19,957135.8013382432,910068.611863254
2022-10-20,953315.009315538,907369.8365100552
2022-10-21,977810.3532639022,929773.8258811113
2022-10-24,992450.4353981492,942249.3155931878
2022-10-25,998959.3238373277,952333.6318015794
2022-10-26,995304.1713181016,952404.4999959688
2022-10-27,998967.6939964768,958212.7123168454
