date,ensemble,dji
2022-12-29,832567.0887392253,908042.8474952687
2022-12-30,833344.0991304606,906032.4425901753
2023-01-03,834045.0754793376,905735.0833219888
2023-01-04,841275.2771070689,909381.3379031633
2023-01-05,829365.8839652594,900096.3614863693
2023-01-06,847586.149955654,919244.376466443
2023-01-09,848912.6867612494,916156.751576885
2023-01-10,846451.5807219733,921253.1797955856
2023-01-11,849943.1192754554,928603.4524638911
2023-01-12,860606.8676148108,934533.6611225446
2023-01-13,859808.3673102797,937612.5307302385
2023-01-17,852872.3003022231,926904.3939236209
2023-01-18,837812.6281733359,910124.5759160346
2023-01-19,833809.059392456,903225.5205789164
2023-01-20,841475.0353386,912271.0080052104
2023-01-23,849065.0102992323,919215.6548710598
2023-01-24,858741.9986166,922069.3429000804
2023-01-25,861006.1871514892,922339.3686053744
2023-01-26,865190.2262997283,927958.3376709349
2023-01-27,861035.1608175925,928741.9353977648
2023-01-30,856154.311992546,921608.1957979986
2023-01-31,856796.4019507369,931692.8924728599
2023-02-01,855146.6699332198,931882.0919785068
2023-02-02,832863.6243170699,930815.549167047
2023-02-03,832893.202869316,927318.7750079412
2023-02-06,838358.3152960738,926362.3138501619
2023-02-07,843689.2201842269,933624.0727542569
2023-02-08,843033.2042998275,927947.4469544699
2023-02-09,839044.4063300093,921137.7595554026
2023-02-10,845548.2643469771,925767.8088572489
2023-02-13,851821.945220848,936063.272927227
2023-02-14,846629.4644812545,931781.1926936104
2023-02-15,850323.9651602706,932841.2224295373
2023-02-16,840329.3178442916,921055.0114646145
2023-02-17,847737.1308592757,924603.9969997144
2023-02-21,827602.3762244185,905549.7275986237
2023-02-22,823147.3651312789,903240.041534203
2023-02-23,826995.0760611495,906214.488389909
2023-02-24,812197.6243132552,897003.3980103089
2023-02-27,817610.4192160567,898976.0057229648
2023-02-28,813978.4282950362,892623.9419588875
2023-03-01,825484.6488188704,892764.453555632
2023-03-02,837802.9506834944,902105.1648155118
2023-03-03,845879.8379172286,912694.1443713948
2023-03-06,844046.7976569136,913800.4062664328
