Date,CRP_net_worth
2023-07-25,1168332.860993717
2023-07-26,1173261.5849020043
2023-07-27,1164387.5850656775
2023-07-28,1171426.2494250583
2023-07-31,1173802.251495594
2023-08-01,1173801.4196205786
2023-08-02,1163974.8337772025
2023-08-03,1161718.0111728248
2023-08-04,1156043.4926650238
2023-08-07,1167020.8688584098
2023-08-08,1163053.7222364235
2023-08-09,1157272.9416703281
2023-08-10,1160696.1065556048
2023-08-11,1164515.8821720905
2023-08-14,1165304.4165744267
2023-08-15,1151981.4434045316
2023-08-16,1145435.5060672741
2023-08-17,1137869.6676450996
2023-08-18,1139381.5039852543
2023-08-21,1138030.1056233272
2023-08-22,1132450.5810637684
2023-08-23,1139669.2101361293
2023-08-24,1125189.1011182556
2023-08-25,1133828.695319725
2023-08-28,1140993.0801225833
2023-08-29,1151519.6974171754
2023-08-30,1153776.939740139
2023-08-31,1151508.5937825318
2023-09-01,1153137.8227834168
2023-09-05,1144736.584899521
2023-09-06,1139142.1847838555
2023-09-07,1139010.3732041721
2023-09-08,1140947.7259902973
2023-09-11,1144435.4965073548
2023-09-12,1144718.5393969554
2023-09-13,1141402.9136392516
2023-09-14,1152081.2593382434
2023-09-15,1143329.1150127563
2023-09-18,1143160.3231388282
2023-09-19,1137948.3276159058
2023-09-20,1133884.3394522285
2023-09-21,1119982.833598753
2023-09-22,1115093.2571415347
2023-09-25,1115181.529664692
2023-09-26,1102972.298887806
2023-09-27,1100477.0865591469
2023-09-28,1103105.4952346077
2023-09-29,1102695.6730749416
2023-10-02,1098501.751792055
2023-10-03,1088129.4244619694
2023-10-04,1090577.8434567242
2023-10-05,1089646.1614514827
2023-10-06,1097265.5395153197
2023-10-09,1103990.820662775
2023-10-10,1109763.7247963238
2023-10-11,1111136.2947132187
2023-10-12,1107805.3142445774
2023-10-13,1105906.6126249714
2023-10-16,1116183.3011273919
2023-10-17,1117927.2795304528
2023-10-18,1105400.2391505183
2023-10-19,1097992.1892492734
2023-10-20,1089878.6323820439
2023-10-23,1084830.4497666378
2023-10-24,1095036.1415215589
2023-10-25,1088880.4000429057
2023-10-26,1082670.5960022202
2023-10-27,1071711.2186747475
2023-10-30,1087800.2935353355
2023-10-31,1094183.3105429707
2023-11-01,1099488.6912817592
2023-11-02,1119087.5811092854
2023-11-03,1127270.1762415217
2023-11-06,1127479.7871533183
2023-11-07,1129493.1833040486
2023-11-08,1125740.9401623153
2023-11-09,1119644.3480539455
2023-11-10,1130932.6917124405
