time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance,train/std,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
42,16050,376,321,,0.008460061,5.878171634776663e-07,-0.011530279067112303,0.2,-7.074251890182495,0.01600000001490116,3200,0.00025,-0.39697933197021484,0.9964145421981812,-0.028934314846992493,2960.0,7.840000000000001e-05
42,16100,377,322,,0.003470919,2.777674501430738e-06,-0.0017909437427297448,0.2,-7.0700976848602295,0.0019999999552965165,3210,0.00025,-2.4006924629211426,0.9956756830215454,-0.009217964485287666,2960.0,7.840000000000001e-05
42,16150,378,323,,0.0036328316,9.6275615533159e-07,-0.004273943732492657,0.2,-7.067217540740967,0.0,3220,0.00025,-17.955259323120117,0.9952490925788879,-0.015215383842587471,2960.0,7.840000000000001e-05
42,16200,380,324,,0.006587429,9.167394409814734e-07,-0.005903777283791101,0.2,-7.065761566162109,0.03599999956786633,3230,0.00025,-0.35228657722473145,0.9950971603393555,-0.01500989031046629,2960.0,7.840000000000001e-05
42,16250,381,325,,0.005193958,9.384699694692245e-07,-0.012234536043368216,0.2,-7.065756797790527,0.015999999642372132,3240,0.00025,-11.325825691223145,0.9952211380004883,-0.01942134089767933,2960.0,7.840000000000001e-05
42,16300,382,326,,0.023904504,1.8315362922294298e-06,-0.0239278728784992,0.2,-7.06607027053833,0.10400000140070915,3250,0.00025,-0.7595705986022949,0.9951982498168945,-0.04428504407405853,2960.0,7.840000000000001e-05
42,16350,384,327,,0.016106868,1.08026358702773e-06,-0.01029134180722755,0.2,-7.065716934204102,0.08799999877810478,3260,0.00025,-4.9627156257629395,0.9950397610664368,-0.01716787926852703,2960.0,7.840000000000001e-05
42,16400,385,328,,0.004278092,4.349802821934645e-07,-0.009980584328062748,0.2,-7.065685558319092,0.003999999910593033,3270,0.00025,-2.031259536743164,0.9953022003173828,-0.025866709649562836,2960.0,7.840000000000001e-05
42,16450,386,329,,0.0051282584,7.723204760168301e-07,0.0003133438494987928,0.2,-7.067109775543213,0.007999999821186066,3280,0.00025,-15.74327278137207,0.995317816734314,-0.004709508270025253,2960.0,7.840000000000001e-05
42,16500,388,330,,0.029265279,6.299379435859009e-07,-0.024165492643602172,0.2,-7.066634750366211,0.13799999803304672,3290,0.00025,-27.47901725769043,0.9953404664993286,-0.04398643225431442,2960.0,7.840000000000001e-05
42,16550,389,331,,0.029085286,4.452998808801567e-07,-0.030796151209622556,0.2,-7.067579030990601,0.17000000067055226,3300,0.00025,-46.15079116821289,0.9956766366958618,-0.04704871401190758,2960.0,7.840000000000001e-05
42,16600,390,332,,0.0037606894,1.7874372815640526e-06,-0.0022185665073337192,0.2,-7.069953775405883,0.005999999865889549,3310,0.00025,-18.96515655517578,0.9962857365608215,-0.009828692302107811,2960.0,7.840000000000001e-05
42,16650,392,333,,0.008251266,6.425214507999044e-07,-0.005796420610044173,0.2,-7.072986078262329,0.025999999791383743,3320,0.00025,-21.008499145507812,0.9967034459114075,-0.009890747256577015,2960.0,7.840000000000001e-05
42,16700,393,334,,0.0144781815,9.300641579557122e-07,-0.009492564650718193,0.2,-7.074244689941406,0.06800000034272671,3330,0.00025,-1.8521397113800049,0.996982753276825,-0.015936726704239845,2960.0,7.840000000000001e-05
42,16750,394,335,,0.0099818,4.421839634005664e-07,-0.01049949189787731,0.2,-7.075538063049317,0.045999998971819875,3340,0.00025,-10.268218994140625,0.9972437620162964,-0.020893407985568047,2960.0,7.840000000000001e-05
42,16800,395,336,,0.00782626,1.0348270620852417e-06,-0.00544362610683311,0.2,-7.076132774353027,0.02799999937415123,3350,0.00025,-2.8391032218933105,0.9972432851791382,-0.01660839654505253,2960.0,7.840000000000001e-05
42,16850,397,337,,0.024643827,5.940248627211986e-07,-0.02373420367762442,0.2,-7.076268434524536,0.1400000002235174,3360,0.00025,-3.4557666778564453,0.9975743293762207,-0.03550105541944504,2960.0,7.840000000000001e-05
42,16900,398,338,,0.008113125,5.40448394303894e-07,-0.008222908523865046,0.2,-7.078476238250732,0.025999999418854714,3370,0.00025,-2.9845831394195557,0.9979467391967773,-0.01809941604733467,2960.0,7.840000000000001e-05
42,16950,399,339,,0.027312724,7.103477287273563e-07,-0.03300331076607108,0.2,-7.079883718490601,0.1279999975115061,3380,0.00025,-1.542207956314087,0.9982830286026001,-0.0614686943590641,2960.0,7.840000000000001e-05
42,17000,401,340,,0.005469259,6.749600061084493e-07,0.001391477714641809,0.2,-7.082771253585816,0.03799999915063381,3390,0.00025,-4.188082695007324,0.9992535710334778,-0.00044282153248786926,2960.0,7.840000000000001e-05
42,17050,402,341,,0.012399278,6.154246932510432e-07,-0.011646607394795793,0.2,-7.087054681777954,0.03399999924004078,3400,0.00025,-1.3990652561187744,0.9998132586479187,-0.03354433923959732,2960.0,7.840000000000001e-05
42,17100,403,342,,0.015636213,2.653560068210936e-06,-0.008049992964399344,0.2,-7.088585948944091,0.07600000016391277,3410,0.00025,-5.265734672546387,1.0000041723251343,-0.020669130608439445,2960.0,7.840000000000001e-05
42,17150,405,343,,0.020023854,1.6221013083850266e-06,-0.014531241756863888,0.2,-7.08990888595581,0.107999999076128,3420,0.00025,-36.118736267089844,1.0003485679626465,-0.025724811479449272,2960.0,7.840000000000001e-05
42,17200,406,344,,0.025829442,1.4096681866249128e-06,-0.020932244822382984,0.2,-7.0912841796875,0.1280000016093254,3430,0.00025,-9.816250801086426,1.0003185272216797,-0.03226139768958092,2960.0,7.840000000000001e-05
42,17250,407,345,,0.009112771,1.651017146286904e-06,-0.004894519058347058,0.2,-7.090546941757202,0.03599999994039536,3440,0.00025,-1.0279030799865723,1.0001859664916992,-0.012904666364192963,2960.0,7.840000000000001e-05
42,17300,409,346,,0.012244347,3.1192116011879987e-06,-0.009455206736922328,0.2,-7.090464115142822,0.06399999894201755,3450,0.00025,-2.9695301055908203,1.0001723766326904,-0.015828918665647507,2960.0,7.840000000000001e-05
42,17350,410,347,,0.00261387,6.235965315681824e-07,-0.0023214577685578774,0.2,-7.0889989852905275,0.0019999999552965165,3460,0.00025,-5.228437900543213,0.9994251132011414,-0.010012542828917503,2960.0,7.840000000000001e-05
42,17400,411,348,,0.010681613,2.1231866753623763e-06,-0.00989732487314896,0.2,-7.0849062442779545,0.03799999877810478,3470,0.00025,-26.295761108398438,0.9988449811935425,-0.03010261431336403,2960.0,7.840000000000001e-05
42,17450,413,349,,0.020049153,2.5502113885522705e-06,-0.024731565315276427,0.2,-7.083019065856933,0.10000000074505806,3480,0.00025,-12.104763984680176,0.9986108541488647,-0.043679386377334595,2960.0,7.840000000000001e-05
42,17500,414,350,,0.02511486,1.8079957271766034e-06,-0.006635731142945645,0.2,-7.081640815734863,0.13000000305473805,3490,0.00025,-11.493790626525879,0.9982017278671265,-0.008471470326185226,2960.0,7.840000000000001e-05
42,17550,415,351,,0.02332208,1.9945439021284982e-06,-0.022208887027576906,0.2,-7.0797606945037845,0.13799999728798867,3500,0.00025,-0.6856111288070679,0.9980427026748657,-0.03256579115986824,2960.0,7.840000000000001e-05
42,17600,417,352,,0.012100687,7.1172922162077155e-06,-0.013655529009178125,0.2,-7.0800926208496096,0.048000000044703485,3510,0.00025,-12.01298999786377,0.9984111785888672,-0.032904572784900665,2960.0,7.840000000000001e-05
