time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/clip_range,train/std,train/explained_variance,train/entropy_loss,train/loss
221184,90,108,2452,2.8229280641056676e-06,0.00025,-0.00012510294117647056,-0.020495150133501738,1070,3212.0,0.0228856,0.117333984375,0.3,0.7448259592056274,-1.2455825805664062,-7.848727089166641,-0.04966726899147034
223232,90,109,2475,2.690297693064281e-06,0.00025,-0.00012421739130434782,-0.027445892736432144,1080,3212.0,0.029840905,0.15166015625,0.3,0.7423333525657654,-1.4606099128723145,-7.810744105279445,-0.04927162826061249
225280,90,110,2497,2.582425775443653e-06,0.00025,-0.00012295714285714284,-0.02353854582470376,1090,3212.0,0.023583906,0.121337890625,0.3,0.7406039834022522,-2.106773614883423,-7.789592404663563,-0.030315464362502098
227328,90,111,2518,3.0360030226717073e-06,0.00025,-0.00012295714285714284,-0.02226557282556314,1100,3212.0,0.025332052,0.106591796875,0.3,0.7383702993392944,-0.7311471700668335,-7.767535375058651,-0.05042744427919388
229376,90,112,2542,2.5248760685769867e-06,0.00025,-0.00012222535211267604,-0.01924810929049272,1110,3212.0,0.023576679,0.101904296875,0.3,0.7385627627372742,-2.230327844619751,-7.759717009961605,-0.05512538552284241
231424,90,113,2565,2.696405027080573e-06,0.00025,-0.00012104166666666665,-0.025651438038039487,1120,3212.0,0.028627276,0.15517578125,0.3,0.7381986379623413,-2.3093113899230957,-7.75516662299633,0.0210407767444849
233472,90,114,2586,3.540717577621422e-06,0.00025,-0.00012104166666666665,-0.02690586608805461,1130,3212.0,0.027970642,0.1396484375,0.3,0.739975094795227,-2.0646350383758545,-7.761723904311657,0.0027336180210113525
235520,90,115,2609,2.658231135654887e-06,0.00025,-0.00012060273972602739,-0.020318433530337642,1140,3212.0,0.022925535,0.110546875,0.3,0.741163432598114,-2.2199854850769043,-7.769619481265545,0.012403545901179314
237568,90,116,2631,3.355404982841037e-06,0.00025,-0.00012060273972602739,-0.02272268859524047,1150,3212.0,0.024465177,0.12958984375,0.3,0.7391458749771118,-0.9824310541152954,-7.76688244342804,-0.011434906162321568
239616,90,117,2654,3.281262454990497e-06,0.00025,-0.00011918918918918919,-0.018616955066681838,1160,3212.0,0.027894937,0.1130859375,0.3,0.7430248856544495,-0.792557954788208,-7.778180155158043,-0.056447286158800125
241664,90,118,2677,2.1632717498221154e-06,0.00025,-0.00011772,-0.021561631764052437,1170,3212.0,0.022952195,0.110107421875,0.3,0.7408906817436218,-1.5707809925079346,-7.7797611489892,-0.016466986387968063
